pair,family,condition,identifiable,method,truth,prediction,correct,abstain
10,unauthorized_delegation,non_identifiable,0,causal,agent_A,agent_B,0,0
10,unauthorized_delegation,non_identifiable,0,rule,agent_A,agent_B,0,0
10,unauthorized_delegation,non_identifiable,0,scm,agent_A,agent_B,0,0
10,unauthorized_delegation,non_identifiable,0,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
10,unauthorized_delegation,critical_evidence_restored,1,outcome,agent_A,agent_B,0,0
10,unauthorized_delegation,critical_evidence_restored,1,causal,agent_A,agent_B,0,0
10,unauthorized_delegation,critical_evidence_restored,1,rule,agent_A,agent_A,1,0
10,unauthorized_delegation,critical_evidence_restored,1,scm,agent_A,agent_A,1,0
10,unauthorized_delegation,critical_evidence_restored,1,trace-r,agent_A,agent_A,1,0
11,human_override,non_identifiable,0,outcome,operator,developer,0,0
11,human_override,non_identifiable,0,causal,operator,developer,0,0
11,human_override,non_identifiable,0,rule,operator,provider,0,0
11,human_override,non_identifiable,0,scm,operator,operator,1,0
11,human_override,non_identifiable,0,trace-r,operator,NOT_IDENTIFIABLE,0,1
11,human_override,critical_evidence_restored,1,outcome,operator,developer,0,0
11,human_override,critical_evidence_restored,1,causal,operator,operator,1,0
11,human_override,critical_evidence_restored,1,rule,operator,operator,1,0
11,human_override,critical_evidence_restored,1,scm,operator,operator,1,0
11,human_override,critical_evidence_restored,1,trace-r,operator,operator,1,0
12,unauthorized_delegation,non_identifiable,0,outcome,agent_A,agent_B,0,0
12,unauthorized_delegation,non_identifiable,0,causal,agent_A,agent_B,0,0
12,unauthorized_delegation,non_identifiable,0,rule,agent_A,agent_B,0,0
12,unauthorized_delegation,non_identifiable,0,scm,agent_A,agent_B,0,0
12,unauthorized_delegation,non_identifiable,0,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
12,unauthorized_delegation,critical_evidence_restored,1,outcome,agent_A,agent_B,0,0
12,unauthorized_delegation,critical_evidence_restored,1,causal,agent_A,agent_B,0,0
12,unauthorized_delegation,critical_evidence_restored,1,rule,agent_A,agent_A,1,0
12,unauthorized_delegation,critical_evidence_restored,1,scm,agent_A,agent_A,1,0
12,unauthorized_delegation,critical_evidence_restored,1,trace-r,agent_A,agent_A,1,0
13,human_override,non_identifiable,0,outcome,operator,developer,0,0
13,human_override,non_identifiable,0,causal,operator,developer,0,0
13,human_override,non_identifiable,0,rule,operator,provider,0,0
13,human_override,non_identifiable,0,scm,operator,operator,1,0
13,human_override,non_identifiable,0,trace-r,operator,NOT_IDENTIFIABLE,0,1
13,human_override,critical_evidence_restored,1,outcome,operator,developer,0,0
13,human_override,critical_evidence_restored,1,causal,operator,operator,1,0
13,human_override,critical_evidence_restored,1,rule,operator,operator,1,0
13,human_override,critical_evidence_restored,1,scm,operator,operator,1,0
13,human_override,critical_evidence_restored,1,trace-r,operator,operator,1,0
14,unauthorized_delegation,non_identifiable,0,outcome,agent_A,agent_B,0,0
14,unauthorized_delegation,non_identifiable,0,causal,agent_A,agent_B,0,0
14,unauthorized_delegation,non_identifiable,0,rule,agent_A,agent_B,0,0
14,unauthorized_delegation,non_identifiable,0,scm,agent_A,agent_B,0,0
14,unauthorized_delegation,non_identifiable,0,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
14,unauthorized_delegation,critical_evidence_restored,1,outcome,agent_A,agent_B,0,0
14,unauthorized_delegation,critical_evidence_restored,1,causal,agent_A,agent_B,0,0
14,unauthorized_delegation,critical_evidence_restored,1,rule,agent_A,agent_A,1,0
14,unauthorized_delegation,critical_evidence_restored,1,scm,agent_A,agent_A,1,0
14,unauthorized_delegation,critical_evidence_restored,1,trace-r,agent_A,agent_A,1,0
15,human_override,non_identifiable,0,outcome,operator,developer,0,0
15,human_override,non_identifiable,0,causal,operator,developer,0,0
15,human_override,non_identifiable,0,rule,operator,provider,0,0
15,human_override,non_identifiable,0,scm,operator,operator,1,0
15,human_override,non_identifiable,0,trace-r,operator,NOT_IDENTIFIABLE,0,1
15,human_override,critical_evidence_restored,1,outcome,operator,developer,0,0
15,human_override,critical_evidence_restored,1,causal,operator,operator,1,0
15,human_override,critical_evidence_restored,1,rule,operator,operator,1,0
15,human_override,critical_evidence_restored,1,scm,operator,operator,1,0
15,human_override,critical_evidence_restored,1,trace-r,operator,operator,1,0
16,unauthorized_delegation,non_identifiable,0,outcome,agent_A,agent_B,0,0
16,unauthorized_delegation,non_identifiable,0,causal,agent_A,agent_B,0,0
16,unauthorized_delegation,non_identifiable,0,rule,agent_A,agent_B,0,0
16,unauthorized_delegation,non_identifiable,0,scm,agent_A,agent_B,0,0
16,unauthorized_delegation,non_identifiable,0,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
16,unauthorized_delegation,critical_evidence_restored,1,outcome,agent_A,agent_B,0,0
16,unauthorized_delegation,critical_evidence_restored,1,causal,agent_A,agent_B,0,0
16,unauthorized_delegation,critical_evidence_restored,1,rule,agent_A,agent_A,1,0
16,unauthorized_delegation,critical_evidence_restored,1,scm,agent_A,agent_A,1,0
16,unauthorized_delegation,critical_evidence_restored,1,trace-r,agent_A,agent_A,1,0
17,human_override,non_identifiable,0,outcome,operator,developer,0,0
17,human_override,non_identifiable,0,causal,operator,developer,0,0
17,human_override,non_identifiable,0,rule,operator,provider,0,0
17,human_override,non_identifiable,0,scm,operator,operator,1,0
17,human_override,non_identifiable,0,trace-r,operator,NOT_IDENTIFIABLE,0,1
17,human_override,critical_evidence_restored,1,outcome,operator,developer,0,0
17,human_override,critical_evidence_restored,1,causal,operator,operator,1,0
17,human_override,critical_evidence_restored,1,rule,operator,operator,1,0
17,human_override,critical_evidence_restored,1,scm,operator,operator,1,0
17,human_override,critical_evidence_restored,1,trace-r,operator,operator,1,0
18,unauthorized_delegation,non_identifiable,0,outcome,agent_A,agent_B,0,0
18,unauthorized_delegation,non_identifiable,0,causal,agent_A,agent_B,0,0
18,unauthorized_delegation,non_identifiable,0,rule,agent_A,agent_B,0,0
18,unauthorized_delegation,non_identifiable,0,scm,agent_A,agent_B,0,0
18,unauthorized_delegation,non_identifiable,0,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
18,unauthorized_delegation,critical_evidence_restored,1,outcome,agent_A,agent_B,0,0
18,unauthorized_delegation,critical_evidence_restored,1,causal,agent_A,agent_B,0,0
18,unauthorized_delegation,critical_evidence_restored,1,rule,agent_A,agent_A,1,0
18,unauthorized_delegation,critical_evidence_restored,1,scm,agent_A,agent_A,1,0
18,unauthorized_delegation,critical_evidence_restored,1,trace-r,agent_A,agent_A,1,0
19,human_override,non_identifiable,0,outcome,operator,developer,0,0
19,human_override,non_identifiable,0,causal,operator,developer,0,0
19,human_override,non_identifiable,0,rule,operator,provider,0,0
19,human_override,non_identifiable,0,scm,operator,operator,1,0
19,human_override,non_identifiable,0,trace-r,operator,NOT_IDENTIFIABLE,0,1
19,human_override,critical_evidence_restored,1,outcome,operator,developer,0,0
19,human_override,critical_evidence_restored,1,causal,operator,operator,1,0
19,human_override,critical_evidence_restored,1,rule,operator,operator,1,0
19,human_override,critical_evidence_restored,1,scm,operator,operator,1,0
19,human_override,critical_evidence_restored,1,trace-r,operator,operator,1,0
20,unauthorized_delegation,non_identifiable,0,outcome,agent_A,agent_B,0,0
20,unauthorized_delegation,non_identifiable,0,causal,agent_A,agent_B,0,0
20,unauthorized_delegation,non_identifiable,0,rule,agent_A,agent_B,0,0
20,unauthorized_delegation,non_identifiable,0,scm,agent_A,agent_B,0,0
20,unauthorized_delegation,non_identifiable,0,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
20,unauthorized_delegation,critical_evidence_restored,1,outcome,agent_A,agent_B,0,0
20,unauthorized_delegation,critical_evidence_restored,1,causal,agent_A,agent_B,0,0
20,unauthorized_delegation,critical_evidence_restored,1,rule,agent_A,agent_A,1,0
20,unauthorized_delegation,critical_evidence_restored,1,scm,agent_A,agent_A,1,0
20,unauthorized_delegation,critical_evidence_restored,1,trace-r,agent_A,agent_A,1,0
21,human_override,non_identifiable,0,outcome,operator,developer,0,0
21,human_override,non_identifiable,0,causal,operator,developer,0,0
21,human_override,non_identifiable,0,rule,operator,provider,0,0
21,human_override,non_identifiable,0,scm,operator,operator,1,0
21,human_override,non_identifiable,0,trace-r,operator,NOT_IDENTIFIABLE,0,1
21,human_override,critical_evidence_restored,1,outcome,operator,developer,0,0
21,human_override,critical_evidence_restored,1,causal,operator,operator,1,0
21,human_override,critical_evidence_restored,1,rule,operator,operator,1,0
21,human_override,critical_evidence_restored,1,scm,operator,operator,1,0
21,human_override,critical_evidence_restored,1,trace-r,operator,operator,1,0
22,unauthorized_delegation,non_identifiable,0,outcome,agent_A,agent_B,0,0
22,unauthorized_delegation,non_identifiable,0,causal,agent_A,agent_B,0,0
22,unauthorized_delegation,non_identifiable,0,rule,agent_A,agent_B,0,0
22,unauthorized_delegation,non_identifiable,0,scm,agent_A,agent_B,0,0
22,unauthorized_delegation,non_identifiable,0,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
22,unauthorized_delegation,critical_evidence_restored,1,outcome,agent_A,agent_B,0,0
22,unauthorized_delegation,critical_evidence_restored,1,causal,agent_A,agent_B,0,0
22,unauthorized_delegation,critical_evidence_restored,1,rule,agent_A,agent_A,1,0
22,unauthorized_delegation,critical_evidence_restored,1,scm,agent_A,agent_A,1,0
22,unauthorized_delegation,critical_evidence_restored,1,trace-r,agent_A,agent_A,1,0
23,human_override,non_identifiable,0,outcome,operator,developer,0,0
23,human_override,non_identifiable,0,causal,operator,developer,0,0
23,human_override,non_identifiable,0,rule,operator,provider,0,0
23,human_override,non_identifiable,0,scm,operator,operator,1,0
23,human_override,non_identifiable,0,trace-r,operator,NOT_IDENTIFIABLE,0,1
23,human_override,critical_evidence_restored,1,outcome,operator,developer,0,0
23,human_override,critical_evidence_restored,1,causal,operator,operator,1,0
23,human_override,critical_evidence_restored,1,rule,operator,operator,1,0
23,human_override,critical_evidence_restored,1,scm,operator,operator,1,0
23,human_override,critical_evidence_restored,1,trace-r,operator,operator,1,0
24,unauthorized_delegation,non_identifiable,0,outcome,agent_A,agent_B,0,0
24,unauthorized_delegation,non_identifiable,0,causal,agent_A,agent_B,0,0
24,unauthorized_delegation,non_identifiable,0,rule,agent_A,agent_B,0,0
24,unauthorized_delegation,non_identifiable,0,scm,agent_A,agent_B,0,0
24,unauthorized_delegation,non_identifiable,0,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
24,unauthorized_delegation,critical_evidence_restored,1,outcome,agent_A,agent_B,0,0
24,unauthorized_delegation,critical_evidence_restored,1,causal,agent_A,agent_B,0,0
24,unauthorized_delegation,critical_evidence_restored,1,rule,agent_A,agent_A,1,0
24,unauthorized_delegation,critical_evidence_restored,1,scm,agent_A,agent_A,1,0
24,unauthorized_delegation,critical_evidence_restored,1,trace-r,agent_A,agent_A,1,0
25,human_override,non_identifiable,0,outcome,operator,developer,0,0
25,human_override,non_identifiable,0,causal,operator,developer,0,0
25,human_override,non_identifiable,0,rule,operator,provider,0,0
25,human_override,non_identifiable,0,scm,operator,operator,1,0
25,human_override,non_identifiable,0,trace-r,operator,NOT_IDENTIFIABLE,0,1
25,human_override,critical_evidence_restored,1,outcome,operator,developer,0,0
25,human_override,critical_evidence_restored,1,causal,operator,operator,1,0
25,human_override,critical_evidence_restored,1,rule,operator,operator,1,0
25,human_override,critical_evidence_restored,1,scm,operator,operator,1,0
25,human_override,critical_evidence_restored,1,trace-r,operator,operator,1,0
26,unauthorized_delegation,non_identifiable,0,outcome,agent_A,agent_B,0,0
26,unauthorized_delegation,non_identifiable,0,causal,agent_A,agent_B,0,0
26,unauthorized_delegation,non_identifiable,0,rule,agent_A,agent_B,0,0
26,unauthorized_delegation,non_identifiable,0,scm,agent_A,agent_B,0,0
26,unauthorized_delegation,non_identifiable,0,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
26,unauthorized_delegation,critical_evidence_restored,1,outcome,agent_A,agent_B,0,0
26,unauthorized_delegation,critical_evidence_restored,1,causal,agent_A,agent_B,0,0
26,unauthorized_delegation,critical_evidence_restored,1,rule,agent_A,agent_A,1,0
26,unauthorized_delegation,critical_evidence_restored,1,scm,agent_A,agent_A,1,0
26,unauthorized_delegation,critical_evidence_restored,1,trace-r,agent_A,agent_A,1,0
27,human_override,non_identifiable,0,outcome,operator,developer,0,0
27,human_override,non_identifiable,0,causal,operator,developer,0,0
27,human_override,non_identifiable,0,rule,operator,provider,0,0
27,human_override,non_identifiable,0,scm,operator,operator,1,0
27,human_override,non_identifiable,0,trace-r,operator,NOT_IDENTIFIABLE,0,1
27,human_override,critical_evidence_restored,1,outcome,operator,developer,0,0
27,human_override,critical_evidence_restored,1,causal,operator,operator,1,0
27,human_override,critical_evidence_restored,1,rule,operator,operator,1,0
27,human_override,critical_evidence_restored,1,scm,operator,operator,1,0
27,human_override,critical_evidence_restored,1,trace-r,operator,operator,1,0
28,unauthorized_delegation,non_identifiable,0,outcome,agent_A,agent_B,0,0
28,unauthorized_delegation,non_identifiable,0,causal,agent_A,agent_B,0,0
28,unauthorized_delegation,non_identifiable,0,rule,agent_A,agent_B,0,0
28,unauthorized_delegation,non_identifiable,0,scm,agent_A,agent_B,0,0
28,unauthorized_delegation,non_identifiable,0,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
28,unauthorized_delegation,critical_evidence_restored,1,outcome,agent_A,agent_B,0,0
28,unauthorized_delegation,critical_evidence_restored,1,causal,agent_A,agent_B,0,0
28,unauthorized_delegation,critical_evidence_restored,1,rule,agent_A,agent_A,1,0
28,unauthorized_delegation,critical_evidence_restored,1,scm,agent_A,agent_A,1,0
28,unauthorized_delegation,critical_evidence_restored,1,trace-r,agent_A,agent_A,1,0
29,human_override,non_identifiable,0,outcome,operator,developer,0,0
29,human_override,non_identifiable,0,causal,operator,developer,0,0
29,human_override,non_identifiable,0,rule,operator,provider,0,0
29,human_override,non_identifiable,0,scm,operator,operator,1,0
29,human_override,non_identifiable,0,trace-r,operator,NOT_IDENTIFIABLE,0,1
29,human_override,critical_evidence_restored,1,outcome,operator,developer,0,0
29,human_override,critical_evidence_restored,1,causal,operator,operator,1,0
29,human_override,critical_evidence_restored,1,rule,operator,operator,1,0
29,human_override,critical_evidence_restored,1,scm,operator,operator,1,0
29,human_override,critical_evidence_restored,1,trace-r,operator,operator,1,0
30,unauthorized_delegation,non_identifiable,0,outcome,agent_A,agent_B,0,0
30,unauthorized_delegation,non_identifiable,0,causal,agent_A,agent_B,0,0
30,unauthorized_delegation,non_identifiable,0,rule,agent_A,agent_B,0,0
30,unauthorized_delegation,non_identifiable,0,scm,agent_A,agent_B,0,0
30,unauthorized_delegation,non_identifiable,0,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
30,unauthorized_delegation,critical_evidence_restored,1,outcome,agent_A,agent_B,0,0
30,unauthorized_delegation,critical_evidence_restored,1,causal,agent_A,agent_B,0,0
30,unauthorized_delegation,critical_evidence_restored,1,rule,agent_A,agent_A,1,0
30,unauthorized_delegation,critical_evidence_restored,1,scm,agent_A,agent_A,1,0
30,unauthorized_delegation,critical_evidence_restored,1,trace-r,agent_A,agent_A,1,0
31,human_override,non_identifiable,0,outcome,operator,developer,0,0
31,human_override,non_identifiable,0,causal,operator,developer,0,0
31,human_override,non_identifiable,0,rule,operator,provider,0,0
31,human_override,non_identifiable,0,scm,operator,operator,1,0
31,human_override,non_identifiable,0,trace-r,operator,NOT_IDENTIFIABLE,0,1
31,human_override,critical_evidence_restored,1,outcome,operator,developer,0,0
31,human_override,critical_evidence_restored,1,causal,operator,operator,1,0
31,human_override,critical_evidence_restored,1,rule,operator,operator,1,0
31,human_override,critical_evidence_restored,1,scm,operator,operator,1,0
31,human_override,critical_evidence_restored,1,trace-r,operator,operator,1,0
32,unauthorized_delegation,non_identifiable,0,outcome,agent_A,agent_B,0,0
32,unauthorized_delegation,non_identifiable,0,causal,agent_A,agent_B,0,0
32,unauthorized_delegation,non_identifiable,0,rule,agent_A,agent_B,0,0
32,unauthorized_delegation,non_identifiable,0,scm,agent_A,agent_B,0,0
32,unauthorized_delegation,non_identifiable,0,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
32,unauthorized_delegation,critical_evidence_restored,1,outcome,agent_A,agent_B,0,0
32,unauthorized_delegation,critical_evidence_restored,1,causal,agent_A,agent_B,0,0
32,unauthorized_delegation,critical_evidence_restored,1,rule,agent_A,agent_A,1,0
32,unauthorized_delegation,critical_evidence_restored,1,scm,agent_A,agent_A,1,0
32,unauthorized_delegation,critical_evidence_restored,1,trace-r,agent_A,agent_A,1,0
33,human_override,non_identifiable,0,outcome,operator,developer,0,0
33,human_override,non_identifiable,0,causal,operator,developer,0,0
33,human_override,non_identifiable,0,rule,operator,provider,0,0
33,human_override,non_identifiable,0,scm,operator,operator,1,0
33,human_override,non_identifiable,0,trace-r,operator,NOT_IDENTIFIABLE,0,1
33,human_override,critical_evidence_restored,1,outcome,operator,developer,0,0
33,human_override,critical_evidence_restored,1,causal,operator,operator,1,0
33,human_override,critical_evidence_restored,1,rule,operator,operator,1,0
33,human_override,critical_evidence_restored,1,scm,operator,operator,1,0
33,human_override,critical_evidence_restored,1,trace-r,operator,operator,1,0
34,unauthorized_delegation,non_identifiable,0,outcome,agent_A,agent_B,0,0
34,unauthorized_delegation,non_identifiable,0,causal,agent_A,agent_B,0,0
34,unauthorized_delegation,non_identifiable,0,rule,agent_A,agent_B,0,0
34,unauthorized_delegation,non_identifiable,0,scm,agent_A,agent_B,0,0
34,unauthorized_delegation,non_identifiable,0,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
34,unauthorized_delegation,critical_evidence_restored,1,outcome,agent_A,agent_B,0,0
34,unauthorized_delegation,critical_evidence_restored,1,causal,agent_A,agent_B,0,0
34,unauthorized_delegation,critical_evidence_restored,1,rule,agent_A,agent_A,1,0
34,unauthorized_delegation,critical_evidence_restored,1,scm,agent_A,agent_A,1,0
34,unauthorized_delegation,critical_evidence_restored,1,trace-r,agent_A,agent_A,1,0
35,human_override,non_identifiable,0,outcome,operator,developer,0,0
35,human_override,non_identifiable,0,causal,operator,developer,0,0
35,human_override,non_identifiable,0,rule,operator,provider,0,0
35,human_override,non_identifiable,0,scm,operator,operator,1,0
35,human_override,non_identifiable,0,trace-r,operator,NOT_IDENTIFIABLE,0,1
35,human_override,critical_evidence_restored,1,outcome,operator,developer,0,0
35,human_override,critical_evidence_restored,1,causal,operator,operator,1,0
35,human_override,critical_evidence_restored,1,rule,operator,operator,1,0
35,human_override,critical_evidence_restored,1,scm,operator,operator,1,0
35,human_override,critical_evidence_restored,1,trace-r,operator,operator,1,0
36,unauthorized_delegation,non_identifiable,0,outcome,agent_A,agent_B,0,0
36,unauthorized_delegation,non_identifiable,0,causal,agent_A,agent_B,0,0
36,unauthorized_delegation,non_identifiable,0,rule,agent_A,agent_B,0,0
36,unauthorized_delegation,non_identifiable,0,scm,agent_A,agent_B,0,0
36,unauthorized_delegation,non_identifiable,0,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
36,unauthorized_delegation,critical_evidence_restored,1,outcome,agent_A,agent_B,0,0
36,unauthorized_delegation,critical_evidence_restored,1,causal,agent_A,agent_B,0,0
36,unauthorized_delegation,critical_evidence_restored,1,rule,agent_A,agent_A,1,0
36,unauthorized_delegation,critical_evidence_restored,1,scm,agent_A,agent_A,1,0
36,unauthorized_delegation,critical_evidence_restored,1,trace-r,agent_A,agent_A,1,0
37,human_override,non_identifiable,0,outcome,operator,developer,0,0
37,human_override,non_identifiable,0,causal,operator,developer,0,0
37,human_override,non_identifiable,0,rule,operator,provider,0,0
37,human_override,non_identifiable,0,scm,operator,operator,1,0
37,human_override,non_identifiable,0,trace-r,operator,NOT_IDENTIFIABLE,0,1
37,human_override,critical_evidence_restored,1,outcome,operator,developer,0,0
37,human_override,critical_evidence_restored,1,causal,operator,operator,1,0
37,human_override,critical_evidence_restored,1,rule,operator,operator,1,0
37,human_override,critical_evidence_restored,1,scm,operator,operator,1,0
37,human_override,critical_evidence_restored,1,trace-r,operator,operator,1,0
38,unauthorized_delegation,non_identifiable,0,outcome,agent_A,agent_B,0,0
38,unauthorized_delegation,non_identifiable,0,causal,agent_A,agent_B,0,0
38,unauthorized_delegation,non_identifiable,0,rule,agent_A,agent_B,0,0
38,unauthorized_delegation,non_identifiable,0,scm,agent_A,agent_B,0,0
