vignette_id,family,condition,hypothesis_A,hypothesis_B,evidence_summary,expert_question,response_options,confidence_scale,expert_response,expert_confidence
V038,human_override,critical_evidence_missing,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,Controlled human override trace; terminal action preserved but one responsibility-separating prerequisite is withheld,Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V039,multi_agent_chain,critical_evidence_missing,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,Controlled multi agent chain trace; terminal action preserved but one responsibility-separating prerequisite is withheld,Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V040,log_suppression,critical_evidence_missing,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,Controlled log suppression trace; terminal action preserved but one responsibility-separating prerequisite is withheld,Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V041,unauthorized_delegation,complete,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,"Controlled unauthorized delegation trace; identity, authorization, permission, action, and relevant context preserved",Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V042,credential_misuse,complete,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,"Controlled credential misuse trace; identity, authorization, permission, action, and relevant context preserved",Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V043,ignored_warning,complete,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,"Controlled ignored warning trace; identity, authorization, permission, action, and relevant context preserved",Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V044,prompt_manipulation,complete,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,"Controlled prompt manipulation trace; identity, authorization, permission, action, and relevant context preserved",Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V045,model_defect,complete,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,"Controlled model defect trace; identity, authorization, permission, action, and relevant context preserved",Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V046,policy_defect,complete,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,"Controlled policy defect trace; identity, authorization, permission, action, and relevant context preserved",Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V047,cloud_defect,complete,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,"Controlled cloud defect trace; identity, authorization, permission, action, and relevant context preserved",Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V048,human_override,complete,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,"Controlled human override trace; identity, authorization, permission, action, and relevant context preserved",Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V049,multi_agent_chain,complete,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,"Controlled multi agent chain trace; identity, authorization, permission, action, and relevant context preserved",Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V050,log_suppression,complete,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,"Controlled log suppression trace; identity, authorization, permission, action, and relevant context preserved",Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V051,unauthorized_delegation,critical_evidence_missing,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,Controlled unauthorized delegation trace; terminal action preserved but one responsibility-separating prerequisite is withheld,Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V052,credential_misuse,critical_evidence_missing,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,Controlled credential misuse trace; terminal action preserved but one responsibility-separating prerequisite is withheld,Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V053,ignored_warning,critical_evidence_missing,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,Controlled ignored warning trace; terminal action preserved but one responsibility-separating prerequisite is withheld,Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V054,prompt_manipulation,critical_evidence_missing,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,Controlled prompt manipulation trace; terminal action preserved but one responsibility-separating prerequisite is withheld,Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V055,model_defect,critical_evidence_missing,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,Controlled model defect trace; terminal action preserved but one responsibility-separating prerequisite is withheld,Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V056,policy_defect,critical_evidence_missing,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,Controlled policy defect trace; terminal action preserved but one responsibility-separating prerequisite is withheld,Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V057,cloud_defect,critical_evidence_missing,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,Controlled cloud defect trace; terminal action preserved but one responsibility-separating prerequisite is withheld,Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V058,human_override,critical_evidence_missing,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,Controlled human override trace; terminal action preserved but one responsibility-separating prerequisite is withheld,Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V059,multi_agent_chain,critical_evidence_missing,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,Controlled multi agent chain trace; terminal action preserved but one responsibility-separating prerequisite is withheld,Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
V060,log_suppression,critical_evidence_missing,Primary responsibility-relevant control transition is attributable to Actor A,Primary responsibility-relevant control transition is attributable to Actor B,Controlled log suppression trace; terminal action preserved but one responsibility-separating prerequisite is withheld,Is the available evidence sufficient to distinguish Hypothesis A from Hypothesis B?,Yes|No|Uncertain,1-5,,
